季度,股本,股價,營業收入,營業毛利,營業利益,業外損益,稅後淨利,ROE,ROA,EPS,BPS
6651,3.46,74.5,11.6,4.03,2.22,-0.41,1.5,12,9.3,4.35,34.86
6654,3.7,74.2,2.52,0.19,-0.98,0.71,-0.12,-1.68,-0.65,-0.37,22.94
6655,8.06,120,18.7,9.2,2.77,-0.33,1.95,7.87,2.29,2.48,32.02
6657,8.87,58.3,0.05,0.04,-2.06,0.12,-1.94,-22.3,-21.4,-2.19,11.19
6658,3.64,68.2,15.8,3.48,0.61,-0.26,0.13,0.21,0.1,0.36,35.97
6661,2.33,20.8,2.78,1.16,0.01,0.01,0.02,0.62,0.33,0.08,12.39
6662,2.56,33.3,1.93,0.75,0.32,0,0.25,5.69,4.24,0.99,17.29
6664,6.08,238,18.5,11.5,8.08,0.11,6.51,16.6,7.53,10.74,65.13
6666,4.74,49,8.54,5.61,1.34,0.25,1.25,7.05,5.34,2.63,34.44
6667,4.93,260,46.6,9.65,5.76,0.14,4.67,21,8.6,9.96,50.38
6668,10.7,45.8,8.04,1.47,-1.26,0.14,-1.13,-5.44,-3.13,-1.11,20.17
6669,18.6,2884,6582,573,475,11.4,373,38,14.9,200.85,581.26
6670,13.9,274,209,52.1,30.3,-1.17,20.2,13.3,8.59,14.55,98.62
6671,6.08,38.4,14.6,5.58,1.38,0.08,1,6.04,4.71,1.65,27.28
6672,7.14,90.9,31.6,10.2,2.82,0.03,2.47,7.26,5.08,3.46,46.68
6674,6.88,25.2,4.74,1.64,-0.79,0.13,-0.66,-6.95,-4.68,-0.98,13.35
6679,5.5,212,14.9,6.05,2.56,-0.25,2.06,3.96,3.74,3.84,95.74
6680,2.39,69.7,3.83,1.23,-0.12,-0.12,-0.24,-4.37,-1.62,-1.03,21.99
6684,4.46,56.9,2.39,1.17,-0.89,2.38,1.44,7.94,7.2,3.24,38.39
6689,6.8,79,94,9.3,0.17,0.61,0.78,1.69,0.85,1.15,41.6
6690,3,178,17.4,7.39,2.52,0.12,2.12,7,4.61,7.07,101.5
6691,12.1,460,154,29.1,25.2,0.08,20.1,31.2,12.4,16.64,54.4
6692,5.88,34.3,12.5,1.98,0.21,0.08,0.26,2.41,1.23,0.44,18.33
6693,4.57,57,9.91,2.47,0.22,-0.87,-0.51,-4.58,-3,-1.12,22.83
6695,9.65,49.2,8.44,3.23,-1.96,0.18,-1.79,-10.9,-9.51,-1.86,16.09
6698,6.64,34.1,8.05,2.15,0.1,-0.2,-0.95,-2.56,-1.71,-1.45,16.41
6703,3.3,122,21.8,13.7,2.34,-0.05,1.89,14.6,8.53,5.77,35.01
6706,7.86,65.2,7.78,1.31,-2.42,-0.69,-2.9,-7.26,-3.94,-3.69,48.74
6708,2.9,43.8,2.2,1.13,0.07,-0.06,0.01,0.37,0.34,0.05,13.05
6712,8.76,158,6.62,4.64,2.76,0.94,3.1,19.5,15.7,3.52,15.86
6715,6.64,108,12.3,4.52,1.15,-0.29,0.78,1.71,1.33,1.17,50.95
6716,3,48.1,8.12,2.66,0.38,-0.02,0.35,4.66,3.01,1.19,23.52
6719,10.5,199,33.9,11.8,4.88,0.54,4.48,3.28,2.75,4.25,130.85
6720,3,134,3.43,2,1.11,-0.01,0.89,9.55,7.76,2.98,30.58
6727,2.69,136,11,2.56,1.46,-0.02,1.11,8.5,3.19,4.14,49.16
6728,3.01,150,34.3,11.9,3.1,-0.16,2.35,12.1,5.97,7.81,64.7
6732,4.89,197,34.3,5.99,1.09,1.07,2.13,4.98,3.84,4.36,84.92
6733,12.4,36.3,1.62,1.18,-0.82,0.04,-0.63,-8.79,-8.17,-0.51,6.12
6735,4.62,57.1,2.23,0.89,-0.22,-0.05,-0.25,-2.56,-2.29,-0.54,19.91
6739,2.33,546,5.5,3.56,2.82,0.06,2.35,28.7,23.4,10.13,37.96
6741,6.03,81.6,12.6,9.13,3.95,0.41,3.41,10.9,7.22,2.95,26.16
6742,7.13,56.6,4.37,-0.06,-0.9,-0.21,-1.06,-7.87,-5.9,-1.5,17.86
6743,15,31.7,41.4,7.77,3.31,-2.58,0.58,2.08,0.63,0.39,17.56
6747,2.72,194,5.85,3.84,0.86,-0.4,0.52,3.9,3.26,1.91,43.59
6751,2.22,45.1,14.3,2.1,0.47,1.16,1.15,12.7,8.68,5.19,43.04
6752,3.71,146,14.4,7.08,1.97,0.28,1.86,14.3,7.25,5.04,35.33
6753,11.3,127,35.4,6.99,5.88,-0.6,4.24,10.4,4.1,3.74,37.8
6754,6.6,52.6,27.3,6.08,1.78,0.26,1.51,6.58,3.17,2.29,33.57
6756,6.99,91.4,11.4,5.59,-0.7,1.02,0.5,1.13,0.86,0.71,39.72
6757,46,84.8,126,35.8,25,-0.37,19.7,27.3,8.04,4.28,14.84
6761,3.5,120,15.5,5.58,2.46,-0.13,1.85,11.7,7.46,5.51,49.58
6762,3.52,227,5.34,1.54,0.52,-0.24,0.24,1.83,0.79,0.68,37.35
6763,1.84,61,12.7,5.37,3.03,4.67,7.05,23.7,10.2,3.83,16.96
6767,3.92,29.4,2.47,1.94,-0.08,0.09,0.01,0.1,0.08,0.02,15.12
6768,20,104,154,31.4,14,0.65,10.6,7.18,4.8,5.32,71.54
6770,420,16.9,342,-23.3,-52.4,-16.4,-71.6,-8.38,-3.9,-1.71,19.56
6771,3.12,54.5,4.78,2.28,1.28,-0.05,0.98,11.2,7.23,3.16,27.84
6776,8.16,56.6,212,12.5,3.21,-0.12,2.59,10.3,2.51,3.18,26.37
6781,8.54,1202,115,42.3,29,2.15,24.5,16.4,11.4,28.71,178.6
6782,6.3,188,31.6,14.1,8.41,-0.3,6.36,16.5,11.4,10.1,62.92
6785,6.68,183,0.01,0.01,-1.12,0.41,-0.54,-2.21,-2.14,-0.81,36.24
6788,3.87,267,18.7,11.1,6.35,0.03,4.68,18.3,13.1,12.09,65.85
6789,31.8,254,66.5,16,9.09,0.78,8.89,4.93,3.79,2.8,56.59
6790,26.7,39.8,81,19.9,7.1,0.4,5.96,10.6,5.97,2.23,20.34
6791,2.08,117,5.81,2.35,0.77,0.11,0.7,14.7,8.87,3.37,22.71
6792,4.79,56.5,10.2,3.32,1.1,0.03,0.88,5.65,4.38,1.89,32.83
6794,6.07,73.5,0.24,0.16,-0.94,0.09,-0.85,-12.1,-10.7,-1.42,11.97
6796,3.82,76.8,4.41,1.87,-0.13,-0.13,-0.26,-3.62,-1.93,-0.68,18.26
6799,4.31,89.4,7.3,3.52,1.58,-0.29,0.97,6.18,5.51,2.29,36.98
6803,7.26,290,73.3,14.9,13.8,0.55,10.3,16,8.06,14.25,92.06
6804,3.5,21.9,10.7,0.46,-0.35,-0.32,-0.54,-4.65,-2.91,-1.54,31.17
6805,6.86,961,84.4,21.2,16.6,-0.1,13.7,23.4,10.9,20.04,90.28
6806,27.5,70.3,214,-140,-148,-11.4,-122,-174,-31.2,-46.34,17.73
6807,5.4,52.3,32,5.94,2.48,0.05,2.04,8.11,5.44,3.77,45.31
6811,4.14,246,73,9.33,5.91,-0.05,4.66,21.3,7.6,11.25,53.75
6821,3.14,40.4,4.58,1.69,0.42,-0.05,0.3,4.6,2.68,0.95,20.68
6823,2.77,55.7,4.61,0.66,-0.73,-0.22,-0.88,-17.4,-7.47,-3.36,22.69
6829,5.92,123,13,3.71,2.19,-0.27,1.56,8.08,5.54,2.64,31.48
6830,5.18,151,15.9,3.47,0.3,-0.3,-0.33,-1.08,-0.55,-0.64,57.69
6834,8.85,29.7,11,2.02,0.47,-0.19,0.22,1.49,0.98,0.24,16.12
6835,6.62,40.9,18.6,4.25,1.5,-0.63,0.61,3.33,1.59,0.92,26.94
6838,15.1,32.1,0.06,-0.02,-1.31,0.95,-0.36,-2.33,-1.69,-0.24,10
6840,3.03,58.1,6.69,2.86,0.54,-0.18,0.36,3.53,2.09,1.18,33.49
6841,9.52,69.8,2.36,1.36,0.04,1.02,0.76,4.99,4.67,0.81,17.75
6843,3.33,61,5.99,2.2,0.74,-0.07,0.51,6,3.69,1.52,24.79
6844,3.74,97.3,25.8,8.74,0.48,0.18,0.54,1.67,1.1,1.44,84.55
6846,2.7,76.1,6.47,3.1,1.28,-0.08,0.94,10.6,5.99,3.5,34.3
6854,11.8,162,8.64,3.08,-2.21,-1.29,-3.5,-12.3,-9.39,-3.06,30.96
6855,2.32,130,4.76,2.38,1.71,-0.26,1.12,13.1,8.67,4.81,36.23
6856,2.82,53.2,5.25,3.66,0.76,-0.19,0.43,4.56,3.53,1.53,26.38
6859,4.15,130,7.46,2.13,1.33,-0.41,0.74,3.73,3.03,1.78,50.47
6861,4.16,54.2,16.4,4.4,0.96,0.25,1.05,7.52,4.34,2.52,33.65
6862,5,142,17.6,7.2,4.65,-0.92,3.01,10.5,7.57,6.02,56.41
6863,7.49,152,28.9,7.72,3.66,-0.48,2.21,3.69,2.51,2.95,76.25
6865,1.57,56.2,3.3,1.4,0.24,0.03,0.22,5.56,3.33,1.39,25.12
6869,13.8,137,54.9,5.36,0.72,1.9,2.14,3.29,1.45,1.57,43.42
6870,2.33,208,5.47,3.88,1.24,-0.05,1.02,9.08,4.67,4.38,47.15
6872,7.07,20.2,0.08,-0.02,-1.12,0.05,-1.06,-19.3,-17.6,-1.54,8.43
6873,14.1,177,54.1,12.3,4.47,-1.47,2.19,1.98,0.85,1.57,70.97
6874,2.2,81.7,11.1,1.66,0.72,-0.08,0.52,10.4,4,2.35,21.43
6875,6.45,43.3,0.2,0.03,-2.71,-0.01,-2.73,-15.1,-13.6,-2.11,12.91
6877,4.7,90.2,3.41,1.48,-0.07,0.23,0.11,1.26,0.85,0.24,19.07
6881,1.5,229,18.2,3.32,2.28,0.14,1.95,23,9.4,13,53.97
6885,13.3,32.9,0.03,0.01,-2.67,-0.12,-2.75,-14.2,-12.8,-2.08,13.54
6887,7.41,75,33.5,7.28,1.84,0.53,1.83,7.47,4.16,2.54,36.05
