zname,ename,lon,lat,geohash
iBike1.0_樂利公園,iBike1.0_Leli Park,120.70752,24.13885,wsmc6f2dc
iBike1.0_進業公園,iBike1.0_Jinye Park,120.70959,24.1463,wsmc6gdn3
iBike1.0_霧峰農工,iBike1.0_Wufeng Agricultural And Industrial High School,120.69985,24.07319,wsmbfw6uq
iBike1.0_烏日圖書館,iBike1.0_Wuri Library,120.6371,24.10924,wsmc1hvq8
iBike1.0_霧峰區公所,iBike1.0_Wufeng District Office,120.70012,24.0615,wsmbfs70k
iBike1.0_軍功公園,iBike1.0_Jungong Park,120.71982,24.182,wsmce41qr
iBike1.0_和福公園,iBike1.0_He Fu Park,120.72337,24.17032,wsmce0h46
iBike1.0_雙十育樂街口,iBike1.0_Shuangshi Rd. / Yule St.,120.69097,24.15778,wsmc6mu3r
iBike1.0_自治公園,iBike1.0_Zi Zhi Park,120.62835,24.10188,wsmc0gwgs
iBike1.0_曉明公園,iBike1.0_Siaoming Park,120.67118,24.16808,wsmc3zwj6
iBike1.0_三信公園,iBike1.0_Sanxin Park,120.66372,24.16623,wsmc3z2dk
iBike1.0_武昌公園,iBike1.0_Wuchang Park,120.66824,24.16906,wsmc3zgfv
iBike1.0_內新國小,iBike1.0_Ne-Shin Elementary School,120.69517,24.11141,wsmc4mre1
iBike1.0_豐田公園,iBike1.0_Fengtian Park,120.69675,24.17392,wsmcd88xq
iBike1.0_經補庫停車場,iBike1.0_Jing Bu Ku Parking Lot,120.73184,24.17692,wsmce360z
iBike1.0_南苑公園,iBike1.0_Nanyuan Park,120.64696,24.13212,wsmc33h7v
iBike1.0_陽明大樓,iBike1.0_Taichung City Hall-Yangming Building,120.7212,24.24698,wsmcgn42z
iBike1.0_萬和宮,iBike1.0_Wan He Temple,120.63903,24.13768,wsmc34nsj
iBike1.0_仁美公園,iBike1.0_Ren Mei Park,120.68614,24.19044,wsmcd78zw
iBike1.0_中平公園,iBike1.0_Zhongping Park,120.7207,24.12079,wsmc5p41u
iBike1.0_旱溪停車場,iBike1.0_Han Xi Parking Lot,120.70916,24.14082,wsmc6f9wr
iBike1.0_國光公園(二二八廣場),iBike1.0_Guoguang Park (228 Plaza),120.67669,24.1165,wsmc4n60f
iBike1.0_文心國小,iBike1.0_Wunsin Elementary School,120.68178,24.1732,wsmcd0tg1
iBike1.0_消防公園,iBike1.0_Fire Park,120.71317,24.26208,wsmf4bu8u
iBike1.0_進士公園,iBike1.0_Jìnshì Park,120.67473,24.1026,wsmc458xv
iBike1.0_黎光公園,iBike1.0_Liguang Park,120.63052,24.15187,wsmc3h8qy
iBike1.0_保安公園,iBike1.0_Baoan Park,120.6122,24.14725,wsmc2eg5g
iBike1.0_景美公園,iBike1.0_Jingmei Park,120.71103,24.17818,wsmcdce04
iBike1.0_清水牛罵頭停車場,iBike1.0_Qingshui Niumatou Parking Lot,120.5742,24.26851,wsmdp9zqq
iBike1.0_豐原國中,iBike1.0_Feng Yuan Junior High School,120.71971,24.26123,wsmf5097v
iBike1.0_春社公園,iBike1.0_Chunshe Park,120.61049,24.14051,wsmc2d9us
iBike1.0_新興國小,iBike1.0_Xin Xing Elementary School ,120.66225,24.19443,wsmc9srwf
iBike1.0_豐原區公所,iBike1.0_Fengyuan District Office,120.71827,24.24243,wsmcgj0q7
iBike1.0_南陽公園,iBike1.0_Nanyang Park,120.72528,24.24111,wsmcghvqw
iBike1.0_崇倫國中,iBike1.0_Chung-Lun Junior High School,120.65741,24.13259,wsmc39hn9
iBike1.0_進化廣場,iBike1.0_Jinhua Square,120.69332,24.15525,wsmc6mq4w
iBike1.0_青年公園,iBike1.0_Youth Park,120.69363,24.08492,wsmc42w2v
iBike1.0_臺灣大道福林路口,iBike1.0_Taiwan Blvd. / Fulin Rd.,120.61377,24.18361,wsmc8dkr8
iBike1.0_廍興公園,iBike1.0_Busing Park,120.72069,24.15934,wsmc7n447
iBike1.0_進德國小,iBike1.0_Jin De Elementary School,120.69429,24.14607,wsmc67wvh
iBike1.0_潭子國小,iBike1.0_Tanzi Elementary School,120.70494,24.21325,wsmcdxysk
iBike1.0_松竹國小,iBike1.0_Song Jhu Elementary School,120.69046,24.18041,wsmcd3uj5
iBike1.0_老樹公園,iBike1.0_Laoshu Park,120.66228,24.18259,wsmc9dr9f
iBike1.0_健康公園附設停車場,iBike1.0_JianKang Park Parking Lot,120.66988,24.12096,wsmc1zj4u
iBike1.0_臺中市港區藝術中心,iBike1.0_Taichung City Seaport Art Center,120.55791,24.26935,wsmdp65e4
iBike1.0_烏日區公所,iBike1.0_Wuri District Office,120.62355,24.10461,wsmc0u57s
iBike1.0_清水運動場,iBike1.0_Qingshui Gymnasium,120.55876,24.27824,wsmdp7sny
iBike1.0_軍功國小,iBike1.0_Jyun Gong Elementary School,120.71896,24.17294,wsmce08ce
