code,continent,Entity,Year,type,source,value
TJK,Asia,Tajikistan,2020,fossil,oil,0.61
TZA,Africa,Tanzania,2020,fossil,oil,2.46
THA,Asia,Thailand,2020,fossil,oil,0.72
TGO,Africa,Togo,2020,fossil,oil,0.45
TON,Oceania,Tonga,2020,fossil,oil,0.06
TTO,North America,Trinidad and Tobago,2020,fossil,oil,1.27
TUN,Africa,Tunisia,2020,fossil,oil,0.0
TUR,Asia,Turkey,2020,fossil,oil,2.13
TKM,Asia,Turkmenistan,2020,fossil,oil,5.48
TCA,North America,Turks and Caicos Islands,2020,fossil,oil,0.24
UGA,Africa,Uganda,2020,fossil,oil,0.29
UKR,Europe,Ukraine,2020,fossil,oil,1.68
ARE,Asia,United Arab Emirates,2020,fossil,oil,0.0
GBR,Europe,United Kingdom,2020,fossil,oil,8.21
USA,North America,United States,2020,fossil,oil,34.34
VIR,North America,United States Virgin Islands,2020,fossil,oil,0.61
URY,South America,Uruguay,2020,fossil,oil,0.17
UZB,Asia,Uzbekistan,2020,fossil,oil,1.23
VUT,Oceania,Vanuatu,2020,fossil,oil,0.05
VEN,South America,Venezuela,2020,fossil,oil,10.45
VNM,Asia,Vietnam,2020,fossil,oil,1.51
YEM,Asia,Yemen,2020,fossil,oil,1.92
ZMB,Africa,Zambia,2020,fossil,oil,0.73
ZWE,Africa,Zimbabwe,2020,fossil,oil,0.04
AFG,Asia,Afghanistan,2020,fossil,gas,0.0
ALB,Europe,Albania,2020,fossil,gas,0.0
DZA,Africa,Algeria,2020,fossil,gas,75.85
ASM,Oceania,American Samoa,2020,fossil,gas,0.0
AGO,Africa,Angola,2020,fossil,gas,3.58
ATG,North America,Antigua and Barbuda,2020,fossil,gas,0.0
ARG,South America,Argentina,2020,fossil,gas,82.33
ARM,Asia,Armenia,2020,fossil,gas,2.97
ABW,North America,Aruba,2020,fossil,gas,0.0
AUS,Oceania,Australia,2020,fossil,gas,48.67
AUT,Europe,Austria,2020,fossil,gas,9.95
AZE,Asia,Azerbaijan,2020,fossil,gas,16.42
BHS,North America,Bahamas,2020,fossil,gas,0.0
BHR,Asia,Bahrain,2020,fossil,gas,31.4
BGD,Asia,Bangladesh,2020,fossil,gas,57.13
